url,name,stars,review,price,total_guest,bedrooms,bed,bath
https://www.airbnb.com/rooms/39290998,大学城～德胜广场旁带阳台居家主卧室,,,$20 / night,2 guests,4 bedrooms,1 bed,2 baths
https://www.airbnb.com/rooms/24491995,Family friendly apartment,4.86,9,$85 / night,3 guests,1 bedroom,2 beds,1 bath
https://www.airbnb.com/rooms/24409350,"Corte Langi a Matino, zona Gallipoli",,1 review,$36 / night,2 guests,Studio,1 bed,1 bath
https://www.airbnb.com/rooms/31276543,Domus Alta | Apartment | Garden View [35 m²],,,"$7,268 / night",3 guests,1 bedroom,3 beds,1 bath
https://www.airbnb.com/rooms/43556730,Квартира в Центре Тулы,4.67,3,$33 / night,4 guests,1 bedroom,2 beds,1 bath
https://www.airbnb.com/rooms/41767443,Cozy Waterfront Cottage,4.33,3,$216 / night,4 guests,2 bedrooms,2 beds,1 bath
https://www.airbnb.com/rooms/16417406,Casa  Minina con dos habitaciones,,,$20 / night,7 guests,1 bedroom,4 beds,2 baths
https://www.airbnb.com/rooms/40911417,MONOLOCALE IN  CORTE LOMBARDA,,1 review,$36 / night,1 guest,Studio,1 bed,1 bath
https://www.airbnb.com/rooms/37113080,Ace Himalayan Getaway- w/Breakfast- Suite 3,,,$57 / night,3 guests,1 bedroom,1 bed,1 bath
https://www.airbnb.com/rooms/19909568,Joe's Places,4.83,7,$49 / night,1 guest,1 bedroom,1 bed,1 private bath
https://www.airbnb.com/rooms/24155256,Fantastic 3 Bedroom Holiday Home in Arsuz,4.56,9,$67 / night,6 guests,3 bedrooms,4 beds,3.5 baths
https://www.airbnb.com/rooms/40561960,4 Bedroom House - Walk to downtown Libertyville,4.94,16,$170 / night,10 guests,4 bedrooms,5 beds,1.5 baths
https://www.airbnb.com/rooms/39775370,Apartamento contemporâneo e arrojado na Paulista,,1 review,$54 / night,2 guests,1 bedroom,1 bed,1 bath
https://www.airbnb.com/rooms/34795069,PONIENTE Bedroom. Warm & Cozy room,4.33,18,$52 / night,2 guests,1 bedroom,1 bed,1 shared bath
https://www.airbnb.com/rooms/44327861,privates Vierbettzimmer im Quartier Latäng,,,$133 / night,4 guests,1 bedroom,4 beds,1 shared bath
https://www.airbnb.com/rooms/40432632,MY BEAUTIFUL CONDO,,,$363 / night,4 guests,2 bedrooms,2 beds,1 bath
https://www.airbnb.com/rooms/22068379,Roomy apartment with great ocean views,,2 reviews,$157 / night,4 guests,2 bedrooms,3 beds,1.5 baths
https://www.airbnb.com/rooms/13440784,Double Room in Center (Lavapies),4.50,4,$36 / night,2 guests,1 bedroom,1 bed,1.5 shared baths
https://www.airbnb.com/rooms/21057728,Cosy En-suite Bedroom in Chic Warehouse Loft,4.58,12,$46 / night,2 guests,1 bedroom,1 bed,1 private bath
https://www.airbnb.com/rooms/38182713,hermoso y economico apto en el sur de cali,4.50,12,$19 / night,4 guests,2 bedrooms,3 beds,2 baths
https://www.airbnb.com/rooms/22527199,Beautiful detached stone cottage with castle views,4.96,124,$189 / night,4 guests,2 bedrooms,3 beds,2.5 baths
https://www.airbnb.com/rooms/46521974,9th floor apartment in the heart of Westlands,,1 review,$80 / night,4 guests,2 bedrooms,2 beds,2 baths
https://www.airbnb.com/rooms/46944797,Casa de praia perto da barraca do gaúcho,,,$300 / night,15 guests,3 bedrooms,15 beds,2 baths
https://www.airbnb.com/rooms/40543102,Stunning Ground Floor City Apartment 104,4.83,6,$240 / night,6 guests,3 bedrooms,3 beds,2 baths
https://www.airbnb.com/rooms/43684275,Vineyard View Annex with garden and hot tub,5.0,10,$136 / night,4 guests,1 bedroom,3 beds,1 bath
https://www.airbnb.com/rooms/22786873,"Sandy Bay, Oceanfront 4 Bedroom House with Free Water Park, Aquarium, Golf & More Every Day!",,2 reviews,$181 / night,12 guests,4 bedrooms,8 beds,3 baths
https://www.airbnb.com/rooms/39212952,Olympic Park Apartament A 606 dla 4 osób,,,$48 / night,4 guests,1 bedroom,2 beds,1 bath
https://www.airbnb.com/rooms/31958145,The Smith Home,,,$150 / night,4 guests,2 bedrooms,2 beds,1 shared bath
https://www.airbnb.com/rooms/38557385,Lama Land Organic Farm and Home Stay,,,$20 / night,16 guests,6 bedrooms,1 bed,2 shared baths
https://www.airbnb.com/rooms/24151021,"‘Two Hearts’ Gatlinburg Cabin w/Hot Tub, Amenities",4.46,28,$128 / night,2 guests,Studio,1 bed,1 bath
https://www.airbnb.com/rooms/45122694,Clean apartment home | 2BR in Boston,,,$219 / night,5 guests,2 bedrooms,2 beds,2 baths
https://www.airbnb.com/rooms/29080314,Slettes,,,$814 / night,1 guest,1 bedroom,1 bed,1 shared bath
