Hotel,CEO
Motel,CFO
B&Bs,CIO
Restaurant,Canadian CTO
Travel Agent,CMO
Tours operator,COO
Boat Rental companie,Founder
Fishing Charter,Owner
Transportation,President
Garden Center,Board Member 
Nursery,Investors
Agricultural Farm,Chairman
Fertilizer Distribution  ,Partners
Hydroponic,General Manager
charter,Canadian CEO
Compliance solution,Canadian CFO
Regulatory compliance,Chief and VP of Financing
Biotech,Chief and VP of Accounting
Pharmaceutical consulting,Chief and VP of Risk
Diagnostic consulting,Chief and VP of Audit
Building companie,Chief and VP of IT
Dental,Chief and VP of Software
Doctors,Chief and VP of HR
Lawyer,Chief and VP of Administration
Architect,Chief and VP of Training
Florist shop,Chief and VP of Compliance
Coffee shop,Chief and VP of Operation
Hairdressers shop,Chief and VP of Sales
Barbers shops,Chief and VP of Marketing
Bakers shop,Chief and VP of Sales Marketing
Bike shops,Chief and VP of Business Development
Car dealership,Chief and VP of Purchasing
Motorbike dealership,Chief and VP of Communication
Marine shop,Chief and VP of Media
Real estate,Chief and VP of Engineering
Personal trainers & fitness,"Chief and VP of Manufacturing, Production"
Clothing store,Chief and VP of R&D
Plumbers,Chief and VP of Quality
Roof,Chief and VP of Design
Heating,Chief and VP of Maintenance
AC,Chief and VP of Facilities
Landscaping,Chief and VP of Security
Housecleaning,Chief and VP of Safety
Re-modeling,Chief and VP of Technical
Painting and decorator,Finance Director
Home Builder,Accounting Directors
Bathroom remodel,Risk Director
Kitchen remodel,Audit Director
Tree surgeon,Compliance Director
Trucking,Controlling Director
Siding ,IT Director
Gutter Contractor,Software Developer
,HR Director
,Payroll Director
,Administration Director
,Training Director
,Sales Director
,Marketing Director
,Sales Marketing Director
,Business Development Director
,Purchasing Director
,Communication Director
,Public Relation Director
,Media Director
,Manufacturing
,R&D Director
,Engineering Director
,Quality Director
,Design Director
,Operation Director
,Maintenance Director
,Technical Director
,Facilities Director
,Security Director
,Safety Director
,Project Director
,Engineer
,Director
,CTO
,Partner
,Shareholder
,Board of Director
,Member of the board
, Manager
,Auditor
,Production Director
